% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, further/more values", seed=854797, Sun Feb 16 19:12:32 2025, <python>{}</python>
176 1760 0.023046487786565612 314.09246948191077 1216373.7374692028 1.2163737374692028e+06 1216379.8020306244 1216382.192167533 3.4535680806729943   
177 1770 0.023676266772355646 332.5872159176398 1216373.7374692028 1.2163753219535418e+06 1216382.5399890968 1216386.9082574935 7.152276650071144   
178 1780 0.0237311339377997 344.6227311662283 1216373.7374692028 1.2163764931840750e+06 1216379.7220565625 1216386.4729880863 3.644781842129305   
179 1790 0.02385381270247526 374.7251611918341 1216373.708162339 1.2163737081623389e+06 1216382.1025112944 1216389.2191297247 7.149785385467112   
180 1800 0.023660933666875876 388.95941197719844 1216370.5018042903 1.2163705018042903e+06 1216377.2142173399 1216391.805663668 6.200538920471445   
181 1810 0.025001617988907987 385.333677025707 1216370.5018042903 1.2163706250748618e+06 1216378.1269258615 1216385.6929323198 11.32450383156538   
182 1820 0.023639450624631776 374.83403792331643 1216370.5018042903 1.2163727567885604e+06 1216378.8013467793 1216386.1373061647 7.771316933212802   
183 1830 0.023573186546108668 366.93775119010746 1216370.5018042903 1.2163716959355210e+06 1216379.6893907045 1216391.4393350123 6.032488283002749   
184 1840 0.02191938195163161 371.2160758428185 1216369.4081317428 1.2163694081317428e+06 1216375.5977994008 1216379.0746791898 3.5973236886784434   
185 1850 0.019503897336215232 366.4604399210969 1216369.4081317428 1.2163705789357238e+06 1216376.649696046 1216380.0881004168 2.8085731328465044   
186 1860 0.018757149175942452 353.1170302616985 1216367.4830332778 1.2163674830332778e+06 1216371.9082009562 1216376.6251221288 3.8096714075654745   
187 1870 0.017913062350200272 370.28280280735663 1216367.4830332778 1.2163687052521387e+06 1216370.3682013955 1216373.6041655426 2.068132397485897   
188 1880 0.02018841426039956 358.88972084193534 1216367.4830332778 1.2163679294088916e+06 1216371.3738656733 1216374.073427788 2.125054207164794   
189 1890 0.02111920168520867 361.8617027107502 1216367.4830332778 1.2163702132523875e+06 1216373.3389696027 1216385.7870787669 7.686683282256126   
190 1900 0.018674047794258193 357.30128645921843 1216367.4830332778 1.2163699947329671e+06 1216372.6519101611 1216387.2827650993 3.076318670762703   
