% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=854797, Sun Feb 16 19:12:32 2025, <python>{}</python>
1 10 0.9973364113161943 0 0 0.999693518156903 0.9439643798341558 1.0048882831882984 1.0528854314469687 0.9948545377691862 1.0059484839137924 0.9672570688226605 1.0020110707868999 0.9949507114827181
2 20 1.1270049322243756 0 0 1.1505687466756016 1.0973881994355472 1.131092025967168 1.2306805204980182 1.1158302911509497 1.1939785675610965 1.0756648792525336 1.1418793502481728 1.0884678748602632
3 30 1.204912299925262 0 0 1.2257697026299408 1.2091294119581257 1.1829592726455314 1.3011622350087495 1.1781894901964827 1.27249526660579 1.1573429008137786 1.2141663415007204 1.086311762593291
4 40 1.2272072354225465 0 0 1.2498630258954215 1.2320111916649041 1.2092663962411407 1.3032966106083006 1.1720191298219216 1.2862445910780873 1.2186318902606075 1.1948745750368668 1.073644261618416
5 50 1.224965438690237 0 0 1.23179202115555 1.2048323329326873 1.2156014498121397 1.306184900329819 1.1753535911395236 1.2774803404003678 1.2391769116969091 1.1668863620286107 1.0529973895353395
6 60 1.2588724291983233 0 0 1.2655044699428335 1.2543042694239273 1.20467996120562 1.3245330556153414 1.1861227658841043 1.3174482334658613 1.3844085793860408 1.1448968763904968 1.0757631156268588
7 70 1.2002047278496215 0 0 1.269624527312853 1.2018317855136853 1.1505383815395118 1.2599467159838047 1.1291170084582627 1.2586551808788689 1.2912060060655013 1.0870783312371184 0.916759560323472
8 80 1.1517717203652662 0 0 1.2159677836095488 1.1504281052294707 1.0939779217131131 1.2188759996529295 1.0855050690175574 1.1912811076007848 1.2240362665460456 1.037186962563823 0.8188100612186616
9 90 1.1090196394609066 0 0 1.1630353618766696 1.0898326274690364 1.0471383619998325 1.189866600358515 1.0089405170214214 1.198832578740845 1.1864511242332398 0.9849616150505098 0.7568164847215847
10 100 1.0897298642995492 0 0 1.1485287532113664 1.0775290157923185 1.0393262453809575 1.179020336372382 1.0070979791617845 1.1507241051375394 1.1481804145384513 0.9483911859575492 0.7053632523910999
11 110 1.0228261683900477 0 0 1.0655072699302943 1.0180040572290485 0.9826354084950065 1.1290723677793997 0.9198202824474003 1.0721677580901643 1.073882555342908 0.8757564540893894 0.6325846494928453
