% # columns="iter, evals, sigma, 0, fitness, xbest" seed=854797, Sun Feb 16 19:12:32 2025, <python>{}</python>
1 10 0.9973364113161943 0 2299378.794181967 1.4966110926411968 1.669730192899323 2.692748005422521 2.191540902112569 1.8013407609590446 1.9073459353750075 2.03494133380292 2.0083036716924227 1.1943177406041967
2 20 1.1270049322243756 0 1619894.492012838 1.7363553394583189 2.8123336468430558 1.3419101637321809 2.6179400189816793 1.5779923470403974 4.278910893703094 1.3091088214711006 1.271861423696714 1.082251175521197
3 30 1.204912299925262 0 1927583.267270221 1.5446085337917388 3.6061117933125155 1.2856656970630524 2.779385432241656 1.2105075773879104 3.1327245458772164 2.3640335156769217 1.599227679229883 1.1126093426878916
4 40 1.2272072354225465 0 1613001.115849074 1.2656462985809398 3.172083164939277 1.805516045273561 1.6301809169552985 1.1247103256292488 3.539995644763199 2.342745315569732 1.011247765018059 1.0886786139786835
5 50 1.224965438690237 0 2882999.8514485387 1.996456313812624 1.4272353759554053 1.9651556499226213 2.1738040726328203 3.200777958184783 5.080078031277369 4.43738592160695 1.4392789297004431 1.3174265607916225
6 60 1.2588724291983233 0 1617100.8857074897 1.5275350263243421 4.0775318990039615 1.4315333064562876 2.868568818295416 2.087678380275483 5.066444916889239 2.8725431682523688 1.0621008265444196 1.0026146783361332
7 70 1.2002047278496215 0 1397990.9911740413 1.4327894422671523 3.37028972041132 2.409418299239247 1.938328448721936 1.436404975275642 2.4410244327406057 1.0287059429840537 1.3487021620459063 1.00228214077153
8 80 1.1517717203652662 0 2079049.2086282978 1.3049677843735195 2.5904101873663983 1.222146135517546 3.8615617020854565 1.5369321333652397 2.83882150621913 1.544032853060695 1.6133775581002632 1.2208015287560772
9 90 1.1090196394609066 0 1808761.0998745933 1.758048259379244 3.5994172071637878 2.963320206943463 4.539089602310987 1.214381231604459 1.5345729903549623 1.567487718813953 1.3527454598510325 1.1776746410055736
10 100 1.0897298642995492 0 2201416.198183651 1.1613105455967958 2.9168974620712973 2.6334558361558393 1.9255945887707366 2.3119599314788517 2.1988589843438184 2.079983616619926 1.4539110578869143 1.2865615197826625
11 110 1.0228261683900477 0 1446372.4685256048 1.8370582891423497 2.7510930676353205 2.4699166492371174 3.9766611234061786 1.454180962479544 2.815502632450743 2.561244789665274 1.0208571093065768 1.001929066915838
12 120 1.0307475927763603 0 1888809.0795566963 1.3336957194361425 2.892407813371306 1.3904937319754485 5.115893202394245 1.3090988363570435 3.3452612506627677 1.0352959261565913 1.4272601256906936 1.193003834311589
13 130 1.0836638742500995 0 1619311.3905417966 1.4488360997314051 4.038134427030258 1.2054234873302967 6.7190975290412736 1.4354106942342588 5.034225824550617 1.5662400095366071 1.4652347665996552 1.0035991281210996
14 140 1.0379996394107096 0 2038980.350135163 1.0574850083133778 4.459053767399843 1.9772187616906398 4.311170875719345 1.05475451378189 4.442356237409561 1.4927700180285401 1.8541615634661053 1.1142380190918482
15 150 1.036636392486672 0 1445612.7895258164 1.8286672416238514 4.558309214843954 1.0880700582038627 5.599455963126042 2.021912766668389 2.601988083197436 1.854672143052941 1.2746341871194742 1.0000135038823266
16 160 1.0978224423976166 0 1606981.2284415795 1.6650531155562034 5.61692113585031 1.3603796543335496 2.474029743356533 3.486951817811063 3.182663246010522 2.8830128472896535 1.0139241106725314 1.0444510988435831
17 170 1.1392581726509798 0 1520128.8233729624 1.7281112027341696 4.803408364952986 1.3207959100277045 3.0507835856361654 1.166576883097659 3.683033018395516 2.123855751047248 1.2111119945504023 1.018413141016177
18 180 1.1863820650607761 0 1832524.5178179923 1.99984031141086 6.6935072828651405 3.0967317955810714 4.3255144168413615 1.638976585439865 4.001673748348607 2.1184751985410766 1.3856999468091873 1.1191613237452207
19 190 1.1077006570462429 0 1620925.0732639406 1.985109093856414 4.249432225265988 1.3189525378832456 3.6615081468798154 1.4063562438024388 4.156422258360388 2.6057596214360217 1.2527165633788644 1.0126549983624515
20 200 1.072842616439316 0 1598816.9672442356 1.7559276882245358 6.6453857708276995 1.0940529675271682 4.4612585945754715 1.0171122101544012 3.344950354354552 1.4124364770910554 1.619893262727023 1.0006589821281586
21 210 0.9737509836235378 0 1605150.8815468224 1.9923745046856756 6.628375082049839 1.37889613286354 3.318244501118685 1.1806061864495128 2.05063677669946 1.8873023273854497 1.5533353654092126 1.017905213242804
22 220 0.9249745336936486 0 1451926.008681085 1.0741393233985375 5.5651837859249795 2.102194019297479 3.601561184332426 1.2585042193351685 1.7957048797706674 1.6410266209578694 1.3661429231547662 1.006250346213885
23 230 0.8703333642042606 0 1369604.260166853 1.9996833552311497 4.939922855073233 1.4520647570364495 2.0441294940401744 1.582487162198219 3.1854062843351634 1.7542829444760644 1.000487473200889 1.0167441153173618
24 240 0.8295500960056661 0 1526060.129537811 1.963472896091106 5.394178438386862 1.4634500527127976 3.079984575174894 2.545022682381219 5.772986973419878 1.6384527365126622 1.0564608566022355 1.0231713243193117
25 250 0.7836386004291261 0 1710845.1363687324 1.1568257921428609 5.1465182398029174 1.6530331839118366 2.9880667042252966 2.1901047680249555 4.378016048023789 1.0951951000610936 1.7649162959186322 1.0022916355384646
26 260 0.7669173853031357 0 1422443.779667543 1.601830422903471 3.026969851129012 1.7181007951729135 1.5162545203246478 1.4261518557903 4.530645730084374 1.2404448225314357 1.1789666559938072 1.0042863038929637
27 270 0.7660231599129458 0 1448029.7154360446 1.8396047123456303 3.8460237689700247 2.0900095792575666 1.202268281038682 2.750631240313812 4.445533367657742 1.3156035034792364 1.2184590810624112 1.0050391905914655
28 280 0.696445092852978 0 1329040.6417571553 1.4662586404050946 3.371225762544178 1.2321731912651526 1.5952407913534046 2.4981675704445223 3.1990534040141734 1.284102182179214 1.0583733208981114 1.0066506000854305
29 290 0.6952618741819964 0 1345857.133992346 1.8455120021650522 5.214658816693979 1.874393604714307 1.016446531958372 1.8987939738861082 2.412088848574253 1.0165369573946639 1.0199687873677843 1.0447030186238517
30 300 0.7750045531481989 0 1368337.4970156588 1.792565464015049 5.331660981941671 1.2930375260388947 1.2202469458202434 1.6475598837436225 1.6759957037892532 1.702050876046954 1.1995157125648819 1.0009347203427408
31 310 0.7859341421045429 0 1653008.4564802588 1.99855491038406 4.145269794849414 2.3831200332662017 1.2054531025046975 1.8427839053075687 1.6555631546544267 1.8403751650116205 1.5800450713208094 1.0404807031983585
32 320 0.7103153507891576 0 1363820.9688909594 1.0002395441730303 3.7104474404425036 2.2400076703603506 2.05366482048133 1.0426302687168334 2.3200131279749736 1.1973431962903185 1.05801350451581 1.0426333677544335
33 330 0.7076868467477228 0 1246999.5325846388 1.0040606798748914 4.53743616474775 2.0786224984641435 2.2090548407510835 1.1435493759260502 1.0988614838772204 1.0006989117355998 1.036308564844659 1.0075403955404882
34 340 0.7466554806009574 0 1325968.5839346524 1.2035916949178567 3.699955748395886 1.70359827112337 3.6765534539611475 1.101404374328828 1.7058099634380917 1.4964889372422987 1.132040498436948 1.0035490980454667
35 350 0.6996425720797962 0 1226032.7767767794 1.5226892063292607 3.3538128355645753 3.154951078483995 2.105300905138309 1.1202596525409017 1.1502552171342488 1.040839941178222 1.0003270800924078 1.0019811656289044
36 360 0.6175859473121535 0 1362539.2751237773 1.1738160827089852 3.460992574668996 2.0497189919217056 2.673595654477658 1.576112223040704 1.3156481980747157 1.1607085572543356 1.2724732992617853 1.0091125561743928
37 370 0.606061432560294 0 1278861.463562726 1.279010424109582 4.069509185494747 1.9951626736872952 4.394065748423863 1.7609696553061693 2.651882714392795 1.1717804333461448 1.0040967152587221 1.0049137132907877
38 380 0.556819872727975 0 1262223.6385245114 1.0599417922738095 3.46783094939044 1.8951039229648208 3.519345525204468 1.7527521772162944 1.563986488608724 1.0968512554023375 1.0130880816364416 1.0111643765233167
39 390 0.5494240930583538 0 1294823.3438388808 1.3713289774868218 3.2717294256724223 1.0007750541591764 3.8902863841943183 2.252720705229212 1.5968249897466853 1.1186307336421244 1.0229651929631132 1.0232128654601975
40 400 0.5202198541487036 0 1304132.7850780883 1.5946703593497789 2.88594044988722 1.773170190571749 4.0817030238790375 1.1035479122050629 1.2229387215121659 1.3561769828254306 1.0645299900249632 1.0157328442837787
41 410 0.46730235806003206 0 1269374.5681344024 1.0500412466644253 3.6461015198339313 1.9240569696793837 2.254476051368642 1.4910757455500998 1.1821602231121577 1.556165067148088 1.0002195677857184 1.0018534973247606
42 420 0.42426787908237973 0 1228228.3455743059 1.0328184654457704 3.4765834249551 1.2956334579267283 3.206986777899684 1.494146870612516 1.1624152949130113 1.1032972127575007 1.0001147719627987 1.000042184788735
43 430 0.4479315773251186 0 1228519.3355145748 1.8523757045991107 2.9497972670248993 1.600726991445792 1.148783773072288 2.0788413059867663 1.066741383690307 1.0179960114557496 1.0176535342079198 1.0002487007833152
44 440 0.4395638414021339 0 1242069.136140168 1.1691990802730388 3.2189962762802584 1.5849851604814003 1.7273370994867039 2.2742547399591766 1.2710612247580644 1.2190042033338229 1.0064690144211557 1.0000077043629054
45 450 0.4472249803966595 0 1251501.9106111757 1.9983235945737523 3.6402887201734657 1.2373263777630235 3.305047817575887 1.806123862598974 1.018447673833118 1.0873915654326964 1.0345010306747446 1.0062982141557908
46 460 0.443292868316786 0 1253783.346253685 1.9155331851027606 3.8116116059486975 1.5782135356506313 2.0862026578017394 1.7428135303861838 1.2789719424432526 1.0116005828430616 1.0092092391357845 1.0134743201206653
47 470 0.42801804736034343 0 1247354.0753801463 1.5606393285347664 2.9475105910705564 1.6397416833256402 1.0506496464897568 2.4688913837399697 1.0872641698182748 1.0402511489368176 1.0606232492032561 1.0000080665892064
48 480 0.41251446579239665 0 1232472.4400516583 1.5160654190417582 3.2788507169176775 1.7215996256733799 2.4981699920560496 1.8538578531024004 1.4750010518730636 1.0138685499420454 1.0143972770661243 1.0000218270287196
49 490 0.45264638898403664 0 1230707.0379850045 1.0687270264643332 4.540789972724433 1.700553088079833 3.2808863910772663 1.9684877470258877 1.183651624251639 1.0006347027515559 1.0092942279498234 1.0020074942502735
50 500 0.48193368425659905 0 1235241.4487678388 1.1268661495370438 5.1359090401865135 1.459343879183316 2.6089479911483577 1.6714677458423486 1.573681652314464 1.1088746870196742 1.0007188808716274 1.0000634399531574
51 510 0.44617676341528184 0 1256094.5547973537 1.698608139495905 4.058143405098418 1.0335906878523398 2.726350200612221 1.5989020914758412 1.8182919428668032 1.126304158940508 1.0014513738473707 1.0074894643738708
52 520 0.4514171641965575 0 1236888.9673966535 1.7711259294010009 4.340076683153134 1.0162183842996888 4.01453138849155 2.2345988980981883 1.251140694601741 1.1398207532379911 1.0012421079584204 1.0003655416112425
53 530 0.49114095705208793 0 1229819.095196323 1.064031855765435 4.316745395362868 1.0208823483667617 4.325849207423785 1.3265121367434034 1.4456323640685 1.0006068800243122 1.0045294621412508 1.0008681717649512
54 540 0.5149029288303235 0 1248212.7678529338 1.2379095475291408 3.875883391071403 1.0430888771587445 3.7847028367828113 1.2341116994077315 1.3400112178856913 1.0384205437334229 1.0363180547146185 1.0044132295831656
55 550 0.5235316818549792 0 1260394.8600552178 1.5070747113554885 4.500052793536005 1.748434869841426 4.486640731585432 1.060185806811437 1.6280242521175037 1.0576824710278165 1.0038190000384184 1.0129209213759678
56 560 0.4791960386514597 0 1233968.9273274485 1.4089002795711185 4.681874209689661 1.2033200186483457 3.2202760567547486 1.6659862627194464 1.2699490596275986 1.0692005990715776 1.0144507864860015 1.0004766725802183
57 570 0.4343911916214638 0 1237881.5231414312 1.1413777781254086 4.043875628948415 1.1417940697965818 2.218723640129124 1.8742579472727539 1.5628583720548286 1.1189700535350164 1.003801983752299 1.0004229404280771
58 580 0.4163856244263199 0 1230291.7076661293 1.510779122251374 3.6833550963232544 1.1925828935073557 1.7413539485706682 1.478313305082135 1.3966683568919884 1.0151822860174446 1.0067622840451445 1.0018196570958429
59 590 0.39286058656325545 0 1226385.577469155 1.9987261403172105 3.7876064021692795 1.1937991252765177 2.3200271082248856 1.253516017710841 1.0000364572781542 1.0492745421102345 1.0120888978191318 1.0005669314448444
60 600 0.3664829093389067 0 1230816.1028113274 1.378215605890368 3.9240401943200007 1.0579477681178482 3.0668019618570366 1.3622881718755706 1.3531399484110993 1.006824718233186 1.019071422921749 1.0000680489965175
61 610 0.3452940633372754 0 1237928.457241587 1.9864340881546843 3.859658985771074 1.389975930668955 2.395946482320686 1.6994802721943918 1.2293142273003754 1.21385882910351 1.0026297225980936 1.0000066350201002
62 620 0.32501087665858835 0 1232065.9229315312 1.2927961290677725 4.197879173987587 1.0866061109013239 2.9192004514499033 1.7863813729056637 1.3521702179816684 1.0479119521419453 1.0031514038167306 1.0016304209884477
63 630 0.30603652006975346 0 1229481.252070074 1.313018504068166 3.9766344186979836 1.6173187566493226 2.6878438156348277 1.5718260325396614 1.2934818913484287 1.0358307169148249 1.006244882823175 1.0010787224113538
64 640 0.2645320133265852 0 1225025.3548901272 1.6106033739291326 3.841582554173182 1.3750819980392093 2.404680239100969 1.2865251768453079 1.026929829540446 1.0851134457599747 1.0003971564410545 1.0005308831334587
65 650 0.2392699132729194 0 1227381.252980284 1.2861751252382456 4.43385270640521 1.0150970286741972 2.9276150069450306 1.9170959462503028 1.1671674640687324 1.019212730470773 1.0103426763043477 1.0000007131030813
66 660 0.2171995196896426 0 1220937.4238439365 1.0406721859606363 4.380484561088668 1.0469728071523339 2.267327065899731 1.8289982931903834 1.0179878782900338 1.000012813524428 1.0006350294882334 1.0005145541711211
67 670 0.18738032457448167 0 1223091.6674780764 1.4993075345424456 3.8402386743113976 1.507262520361086 1.9140615730964763 1.6182741872056479 1.1636290417001436 1.0001131613063547 1.0008550496744497 1.00114331957706
68 680 0.1741193908009139 0 1219729.7966726993 1.6442728139721907 4.015666248784012 1.4757048272365243 2.1979738741382997 1.6172519395100464 1.0021234939053558 1.0001752633992085 1.0000129158003068 1.000489491562985
69 690 0.16530337917314553 0 1219464.9141963345 1.5127737774950731 3.6694318936782966 1.688715021015862 1.3678382920574996 1.7500261614977757 1.0144954582965984 1.0009796930584125 1.001548827849756 1.0000249071062026
70 700 0.14802125441733024 0 1219656.4599008835 1.3425878990158249 4.061901374708794 1.3824668094646402 1.9131362606185556 1.7974667468177983 1.0072401052381452 1.0012059780945675 1.000569428439879 1.0000924630552956
71 710 0.13786201816712385 0 1220742.9665974386 1.2649318011671262 4.156327144085824 1.3111773131985043 2.068947028805751 1.8214796597344698 1.0639184367492014 1.0044204658252267 1.0009883084884423 1.0000315089243619
72 720 0.13388695655967264 0 1220849.1889846865 1.328002569254401 4.102357861436515 1.3615652061855705 2.0194232606271068 2.057689347677887 1.0007731787512546 1.0011005481990192 1.0012888677021639 1.0000618584251684
73 730 0.11941946701421875 0 1219708.6290325103 1.4018152201740648 4.032065834407767 1.3978183096073735 1.5759331831844754 1.8534515622137513 1.0411840169219426 1.0008198247709237 1.0000000035414942 1.0000388953573824
74 740 0.11243451216980938 0 1220894.6577418658 1.4355933981368119 3.974585689955027 1.4728812147987158 1.6799301528728474 1.9250841793676319 1.0001644717752372 1.0107331338754346 1.0004683646401047 1.0003010990563328
75 750 0.10251636994922562 0 1220847.140619883 1.4775963374855903 4.032908086610256 1.389140539366175 2.035982372876927 1.8673176524183062 1.0283123469299773 1.009812045388532 1.001120577717996 1.0000245110753434
